date,airport,passengers,,
1/1/2005,"DETROIT, MICHIGAN (DTW)",36 389 294,,
1/1/2004,ATLANTA (ATL),83 606 583,,
1/1/2004,CHICAGO (ORD),75 533 822,,
1/1/2004,LONDON (LHR),67 344 054,,
1/1/2004,TOKYO (HND),62 291 405,,
1/1/2004,LOS ANGELES (LAX),60 688 609,,
1/1/2004,DALLAS/FT WORTH AIRPORT,59 412 217,,
1/1/2004,PARIS (CDG),51 260 363,,
1/1/2004,FRANKFURT/MAIN (FRA),51 098 271,,
1/1/2004,AMSTERDAM (AMS),42 541 180,,
1/1/2004,DENVER (DEN),42 393 766,,
1/1/2004,LAS VEGAS (LAS),41 441 531,,
1/1/2004,PHOENIX (PHX),39 504 898,,
1/1/2004,MADRID (MAD),38 704 731,,
1/1/2004,BANGKOK (BKK),37 960 169,,
1/1/2004,NEW YORK (JFK),37 518 143,,
1/1/2004,MINNEAPOLIS/ST PAUL (MSP),36 713 173,,
1/1/2004,HONG KONG (HKG),36 711 920,,
1/1/2004,HOUSTON (IAH),36 506 116,,
1/1/2004,DETROIT (DTW),35 187 517,,
1/1/2004,BEIJING (PEK),34 883 190,,
1/1/2003,ATLANTA (ATL),79 086 792,,
1/1/2003,CHICAGO (ORD),69 508 672,,
1/1/2003,LONDON (LHR),63 487 136,,
1/1/2003,TOKYO (HND),62 876 269,,
1/1/2003,LOS ANGELES (LAX),54 982 838,,
1/1/2003,DALLAS/FT WORTH AIRPORT (DFW),53 253 607,,
1/1/2003,FRANKFURT/MAIN (FRA),48 351 664,,
1/1/2003,PARIS (CDG),48 220 436,,
1/1/2003,AMSTERDAM (AMS),39 960 400,,
1/1/2003,DENVER (DEN),37 505 138,,
1/1/2003,PHOENIX (PHX),37 412 165,,
1/1/2003,LAS VEGAS (LAS),36 285 932,,
1/1/2003,MADRID (MAD),35 854 293,,
1/1/2003,HOUSTON (IAH),34 154 574,,
1/1/2003,MINNEAPOLIS/ST PAUL (MSP),33 201 860,,
1/1/2003,DETROIT (DTW),32 664 620,,
1/1/2003,NEW YORK (JFK),31 732 371,,
1/1/2003,BANGKOK (BKK),30 175 379,,
1/1/2003,LONDON (LGW),30 007 021,,
1/1/2003,MIAMI (MIA),29 595 618,,
1/1/2002,ATLANTA (ATL),76 876 128,,
1/1/2002,CHICAGO (ORD),66 565 952,,
1/1/2002,LONDON (LHR),63 338 641,,
1/1/2002,TOKYO (HND),61 079 478,,
1/1/2002,LOS ANGELES (LAX),56 223 843,,
1/1/2002,DALLAS/FT WORTH AIRPORT (DFW),52 828 573,,
1/1/2002,FRANKFURT/MAIN (FRA),48 450 357,,
1/1/2002,PARIS (CDG),48 350 172,,
1/1/2002,AMSTERDAM (AMS),40 736 009,,
1/1/2002,DENVER (DEN),35 651 098,,
1/1/2002,PHOENIX (PHX),35 547 167,,
1/1/2002,LAS VEGAS (LAS),35 009 011,,
1/1/2002,MADRID (MAD),33 913 456,,
1/1/2002,HOUSTON (IAH),33 905 253,,
1/1/2002,HONG KONG (HKG),33 882 463,,
1/1/2002,MINNEAPOLIS/ST PAUL (MSP),32 628 331,,
1/1/2002,DETROIT (DTW),32 477 694,,
1/1/2002,BANGKOK (BKK),32 182 980,,
1/1/2002,SAN FRANCISCO (SFO),31 456 422,,
1/1/2002,MIAMI (MIA),30 060 241,,
1/1/2001,ATLANTA (ATL),75 858 500,,
1/1/2001,CHICAGO (ORD),67 448 064,,
1/1/2001,LOS ANGELES (LAX),61 606 204,,
1/1/2001,LONDON (LHR),60 743 084,,
1/1/2001,TOKYO (HND),58 692 688,,
1/1/2001,DALLAS/FT WORTH AIRPORT (DFW),55 150 693,,
1/1/2001,FRANKFURT/MAIN (FRA),48 559 980,,
1/1/2001,PARIS (CDG),47 996 529,,
1/1/2001,AMSTERDAM (AMS),39 531 123,,
1/1/2001,DENVER (DEN),36 092 806,,
1/1/2001,PHOENIX (PHX),35 439 031,,
1/1/2001,LAS VEGAS (LAS),35 180 960,,
1/1/2001,HOUSTON (IAH),34 803 580,,
1/1/2001,SAN FRANCISCO (SFO),34 632 474,,
1/1/2001,MINNEAPOLIS/ST PAUL (MSP),34 308 389,,
1/1/2001,MADRID (MAD),34 047 931,,
1/1/2001,HONG KONG (HKG),32 546 029,,
1/1/2001,DETROIT (DTW),32 294 121,,
1/1/2001,MIAMI (MIA),31 668 450,,
1/1/2001,LONDON (LGW),31 182 364,,
1/1/2000,ATLANTA (ATL),80 162 407,,
1/1/2000,CHICAGO (ORD),72 144 244,,
1/1/2000,LOS ANGELES (LAX),66 424 767,,
1/1/2000,LONDON (LHR),64 606 826,,
1/1/2000,DALLAS/FT WORTH (DFW),60 687 122,,
1/1/2000,TOKY (HND),56 402 206,,
1/1/2000,FRANKFURT/MAIN (FRA),49 360 630,,
1/1/2000,PARIS (CDG),48 246 137,,
1/1/2000,SAN FRANCISCO (SFO),41 040 995,,
1/1/2000,AMSTERDAM (AMS),39 606 925,,
1/1/2000,DENVER (DEN),38 751 687,,
1/1/2000,LAS VEGAS (LAS),36 865 866,,
1/1/2000,MINNEAPOLIS/ST PAUL (MSP),36 751 632,,
1/1/2000,SEOUL (SEL),36 727 124,,
1/1/2000,PHOENIX (PHX),36 040 469,,
1/1/2000,DETROIT (DTW),35 535 080,,
1/1/2000,HOUSTON (IAH),35 251 372,,
1/1/2000,NEWARK (EWR),34 188 468,,
1/1/2000,MIAMI (MIA),33 621 273,,
1/1/2000,MADRID (MAD),32 893 190,,
